,index,event,target,cleantarget,perpetrator,perpgender,gendersquash,cleandiscipline,itype,cleantarget_new,perpetrator_new,cleandiscipline_new
155,386,A post-doc in my lab asked me if I wanted a massage (while we were in an instrument room - small and windowless). I said no and then he asked me to never tell anyone about it.,Undergraduate researcher,Undergraduate Researcher,Post-doc in the same lab,Male,Male,Chemistry,Research Institute,Graduate Student,Graduate Student,Natural sciences
156,607,"Female colleagues in my department decided to create an anonymous form so that graduate students, and others in the department, could report gendered issues and issues of sexual harassment. Once they are reported, we write them in n a Post-It and stick the Post-It to one of our doors. The male faculty are now reporting that they feel this is a micro-aggression and is creating a climate issue where they no longer feel appreciated. Two of us are untenured, and the males complaining are all either tenured Associates or Fulls. They are requesting a report by the chair on the one-on-one discussions that he had about climate earlier in the year so that they can find out who is saying what. This issues has been ongoing for at least 2 years but they refuse to see that there is a problem with their behavior. Instead they claim that it is a matter of perspective.","Untenured, tenure track","Untenured, Tenure Track",Associate and Full,Male,Male,Political Science,Research Institute,Faculty,Faculty, Social sciences
157,2390,"I had just started a PhD program and was assigned an older, male advisor. I met with him to discuss courses to take and research interests, and he told me, ""Wow, you're blonde, 23 and live in _________? Are you married? No? Do you want to get married?"" He would routinely invite graduate students over to his home for drinks, and several rumours abounded that he had sexual relationships with at least 2 previous students.",Graduate Student,Graduate Student,Tenured Professor,Man,Other,Criminal Justice,Research Institute,Graduate Student,Faculty, Social sciences
158,1557,"Sexual harassment from a senior graduate student who was supposed to mentor/train me. He pressured me to have a sexual relationship with him. This pressure continued for months despite my repeated declarations that I was not interested. Unfortunately, despite my best judgment, I eventually gave in and started dating him. It quickly became evident that this was not a relationship that would work for me. He was emotionally abusive and unbearably narcissistic. I tried to break it off with him multiple times, but each time he made life at work a living hell, and eventually I would succumb to his advances just to quell the non-stop barrage of verbal and emotional abuse (although obviously it was still abuse to be coerced into a relationship like this). When I finally ended it for the last time, he of course made my life a living hell again at work...as I had feared. This was a problem because he was specializing in an analytical technique I needed for my research project and he was supposed to be mentoring me for that component of my research. But it wasn't just that he refused to help me. He took it a step further and was a cruel bully to me in the workplace. For example, he regularly told me I wasn't smart enough for the program. Any time I had a question, any time I made a small mistake, sometimes out of the blue for no reason at all. He would remind me of my inferiority. He even went as far as to spread horrible rumors about me to other graduate students in our program. Some of the rumors were sexual in nature. Others were about my ""incompetence"" in our field. These rumors socially isolated me from the rest of the group. ",Ph.D. student,Ph.D. Student,more senior Ph.D. student,Male,Male,Engineering,Research Institute,Graduate Student,Graduate Student,Applied science
159,1857,"My direct supervisor's wife was having a garage sale and I dropped off clothes that I didn't want any more.  Apparently a bra was in this pile.  My direct supervisor sent me an email that he wanted to talk with me about my donation.  Not realizing his frame of mind, I went to his office where he proceeded to talk about what he had imagined with this bra.  When I spoke of it with colleagues, several of them reported even more flagrant harassment situations with him (chasing them around the conference table, explicit suggestive remarks). ",I was PREGNANT and directly supervised by this Director.,I was PREGNANT and directly supervised by this Director.,My direct supervisor (along with a couple of the other victims).,Male,Male,Student Affairs,Research Institute,Chair/Dean/Head,Graduate Student,Humanities
160,0,"When I was in grad school a male faculty member ""joked"" to a group of three female PhD students (myself included) who had just mentioned how stressed we were about comps, that ""all [we] had to do was wear tight, low-cut dresses and [we'd be fine.""  Several years later a male faculty member stared at my breasts repeatedly, whenever I passed him in the hallway, etc, to the point where I had to sit on the same side of the table as him during meetings so as to not keep catching him doing it when I was on the opposite side",PhD student/Assistant Professor,PhD student/Assistant Professor,"At least Associate, if not Full at that point",Male,Male,History,Multiple,Graduate Student,Faculty,Humanities
161,1635,"2006. I was at a get-together in the hotel room of a prominent scholar in my field after a conference. As a graduate student, I kept my own drinking to a minimum around colleagues. By the time I had arrived at this party, it was clear that just about everyone had had one too many. I was chatting with my advisor's inebriated partner when she reached out and rubbed my groin. I felt humiliated and feared who might have seen it, so I rushed out into the hallway. She tried to apologize, and when I wasn't having any of it, she said that if I reported it, no one would believe me and she would sabotage me with her husband. This is literally the first time, I'm writing about this.",Graduate student,Graduate Student,Advisor's partner,Female,Female,English,Research Institute,Graduate Student,Faculty,Humanities
162,1759,"After a consensual encounter that turned into sexual assault/rape, he told colleagues in my department and in at least 5 other departments about how I was ""crazy"" and how I wouldn't leave him alone, and that they shouldn't work with me on grants and proposals because I was a ""manipulative slut"" who ""wasn't even that good in bed.""",PhD candidate in an interdisciplinary department,PhD candidate in an interdisciplinary department,PhD candidate from another interdisciplinary department,Male,Male,Public Policy;Environmental Science,Research Institute,Graduate Student,Graduate Student, Social sciences
163,555,"Male postdoc mentor hugged me, kissed me on the head, and said I love you after long period of attempted harassment",Graduate student,Graduate Student,Postdoc mentor and head of digital humanities group I worked for par ttime,Male,Male,History,Elite Institution,Graduate Student,Graduate Student,Humanities
164,469,I was touched inappropriately at my job (shoulder massages etc) and comments were made about my body and attractiveness.,graduate student,Graduate Student,"boss (on campus job, but not my advisor)",Male,Male,Media Studies,Elite Institution,Graduate Student,Faculty,Humanities
165,1846,My PI's husband grabbed my ass at a holiday party,"Grad student, not yet PhD candidate","Grad student, not yet PhD candidate","Research Scientist, husband of my PI",Male,Male,Chemistry,Elite Institution,Graduate Student,Faculty,Natural sciences
166,2056,"I went out to celebrate a friends birthday and ran into my organic chemistry lab instructor, who was a graduate student at the time.  He bought me and my friends drinks and hung out with us the entire night.  One of my friends drank too much, and he offered to help get her home.  When we got back to her apartment, I almost immediately fell asleep on a blow-up mattress in the living room.  The next morning, I woke up to someone brushing his hand up and down the side of my body.  It was my instructor.  He called me several times a day for a week or so, asking me out.  Each time I let the call go to voicemail. Other than with my friends in the apartment, I have never spoken about this incident because I've been incredibly ashamed and embarrassed, thinking that may be it was something I did that let him think it was okay to lay down next to me.  Now I'm aware enough that this was not my fault.",Undergraduate,Undergraduate,Graduate Instructor,Male,Male,Stem,Research Institute,Graduate Student,Graduate Student,Formal sciences
167,1734,"I was stalked/harassed for about a year as an undergraduate student. The harassment mostly consisted of emails and notes, but in one incident someone stole my underwear from the laundry room and returned it with a note explaining how they'd used it for masturbation. I was also aware of some other incidents on campus, including two different graduate student or postdoc T.A.s who had sexually coerced / assaulted female undergraduate students in their classes, a professor who had sexually assaulted a female R.A., a rape, and another case of email harassment which took place in another dorm.",Undergraduate,Undergraduate,"Unknown in my case, but probably an undergraduate","Unsure about the email harassers, but the T.A.s/professor were male",Other,Computer Science,Elite Institution,Graduate Student,Graduate Student,Formal sciences
168,2061,"I was in a PhD program and in a Family seminar. The Professor had a regular habit of getting ""too comfortable"" and saying inappropriate things. I don't remember what the topic was for that week, but all of a sudden this instructor (also Chair) blurted out how ""he remembered when small p*nises used to be in"". At that point, any of the 15 students in the class could have reported him for sexual harassment. I gave him a weird look as I was confused where the comment came from and where he was going with this line of non-academic inquiry. In reaction to my puzzled look, he said out loud in front of all my peers, ""Well, I know YOU find that hard to believe."" I laughed off the moment as I realized that this tenured faculty member just called me a ""size queen"" in front of the whole class, which was a public slight on a sexuality level as a gay man and as biracial/black man.",Graduate Student ,Graduate Student ,"Instructor, Chair, and academic adviser",Male,Male,Social Science,Research Institute,Graduate Student,Chair/Dean/Head, Social sciences
169,1245,"Working as grad researcher, although paid minimum wage, c.15 years ago. Prof leading project constantly stared at my chest and on one occasion brushed past my bottom, deliberately. Same happened (staring) when I started in my current institution 12 years ago - male staff member in permanent post stared at my chest every time we discussed anything including my teaching on his module.",Grad doing PhD then as postdoc researcher,Grad doing PhD then as postdoc researcher,"Boss then more senior, permanent",Male,Male,History,Multiple,Graduate Student,Graduate Student,Humanities
170,120,"I was an undergraduate and a professor casually asked if I had a boyfriend, then asked what his ethnicity was. I was dating a non-Latinx white man at the time. The professor joked that I was a race-traitor and put his hand on my thigh. ",Sophomore undergraduate,Sophomore Undergraduate,Potential mentor/advisor for a summer research project ,Male,Male,Literature,Regional College,Graduate Student,Staff,Humanities
171,2219,"While, as an older man, I taught at Austin/Riverland Community College in Austin, Minn, 1991-96. Some women students, ranging from indicating a willingness to strongly suggesting to outwardly offering to, engage in sex as a means to a good grade or passing a course. I, and other men, felt extremely  uncomfortable with the fear of false charges and awkwardness in dealing wit  such students, especially in private.",Adjunct instructor,Adjunct Instructor,Undergraduate women students,Female,Female,English,Other Type of School,Faculty,Graduate Student,Humanities
172,2130,"I have heard so many stories, so will just report my own. I will only report three main ones. 1) In 2002 I was a brand new graduate student doing fieldwork in a remote location. I was warned in advance that the PI had a ""reputation"" so I was wary. After about a week we were all sitting around a campfire. I had avoided him, but he seemed to find me. He sat down and started talking. I admit to being abrupt with him, but didn't want to be rude so started talking more. He seemed just conversational but then asked about my body, which took me off guard. He laughed and said he just wanted to know what sports I had done in high school to shape my body for life. After telling him I had been a cheerleader he would frequently come up to me after and during work and say, ""You know, I had always wanted to date a cheerleader..."". It just just awkward, but these comments went on and on every day. No specific one seemed overtly disgusting, but I just wished it wasn't happening. There was a lot of drinking and smoking pot and playing games and as the fieldwork progressed it started to feel ""normal"" somehow. It seemed like he really liked me. I started to feel flattered. One night he kissed me. I broke it off, and he started to feel my chest. I told him no, and he persisted a bit but ultimately backed away...but he barely spoke to me for the rest of the fieldwork (many weeks). He found someone else who would sleep with him, which was a very clear message that had been his only plan the entire time. I felt dirty and used, like it was my fault, that I had instigated or encouraged it, and that there was no way I could ever tell anyone because I would be the fool who didn't see it coming. After all, hadn't I been adequately warned? A year or so later I saw him at a conference. I tried to sit away from him at dinner after the talks. He got drunker and drunker, and would not leave me alone. There was dancing. He would dance over to me and comment on how I moved, persistently, trying to touch me. I would just laugh and move away, trying to make light of it. I walked back to my hotel in a group, and said goodbye to them all in the lobby. The next thing I knew, he was calling my room at 3am asking if I could come see him. I had many roommates, one of whom answered the phone. I told him no way, but I'm sure it damaged my reputation. I just never had the guts to try to explain it to anyone. Fortunately, he was a PI at another institution and I never had to deal with him after that. He was married and had two kids the whole time. 2) In 2004 I was a mid-level graduate student and I was doing fieldwork in a different place. There was a senior graduate student who was in a supervisory position (married, with two kids). Several of us took a night off on a weekend to go into a town, and stayed in a hostel. There was drinking. This man got very drunk and was all over me, whispering in my ear ""I'm going to make you come over and over"" and groping me. I told him no, no, no, so many times. I tried to squirm away. I didn't want to make a fuss about it because I had to work with him, and everyone knew him as the ""dirty old man"" anyway so I figured they would just see it as me making a big deal out of nothing. I could not seem to get away from him without raising a fuss. We were in a shared room with several other people and I took the top bunk. He got up there with me, trying to touch me, and I just kept shoving him away with my feet. I really didn't want to make the situation awkward for other people, or for myself when everyone woke up the next morning and had to go back to work together. I must have stayed like that for an hour or more, just shoving his hands back with my feet through my sleeping bag until eventually I guess he just passed out. The next morning he pretended like nothing had happened, and every once in a while I see him and he hugs too long, squeezes too tight...but he does that to all the women, so I feel like if I brought it up I would look conceited. There were rumors that all the men (PIs and male graduate students) would get together and rate the female graduate students and undergraduates on the fieldwork. I can't know if any of that was actually true, but I would not be surprised. 3) In 2016 I was a TT Asst. Prof. I thought all of this was behind me. I am married with two children. I did not think I would be a target any longer, because I was now ""old"" and cynical. I was invited to attend a workshop. Afterwards, several of us colleagues went out...and out...and out. We just kept going from place to place, chatting, having a great time, generating ideas. We were in a group. It felt like my grad school years, but the good parts of them. I chatted for a while with someone who was probably about my age. We knew a lot of the same people, but had never met in person. I showed abundant pictures of my husband and family. He seemed to like seeing them. At the last place, the music was loud. I went to the bathroom and when I came back everyone was gone except for this guy. I asked where they went and he said they had all left. I thought that was weird, and since I had been following the group I didn't really know where I was. I started trying to figure out how to get back to my lodging. A rad song from the 80s started playing and I said I liked it. This guy said I should dance to it then. So we danced, not touching, in a crowd. It was fun - I hadn't done something like that in maybe 10 years. We kept dancing, and he kept getting closer. I kept trying to keep it light, keep my distance, but he kept getting closer and I could not find a way to move away without making it awkward, feeling like he was trying something that I was telling myself he couldn't possibly be trying. After all, he'd seen my family photos and I was no longer a young, naive graduate student right? It just kept happening and I couldn't find a way to stop the situation without bringing attention to it. I felt like that would be awkward, sort of like accusing him of something, which to me felt both conceited and like it could become an issue if we ever worked together in the future. Eventually he pulled me in all of a sudden and planted a huge kiss on my mouth. That was a pretty clear signal that it wasn't all in my head, so I pushed him away and scolded him and reminded him I was happily married. He just smiled and acted like nothing had happened and tried again...and again...after a couple of minutes of trying to ""be normal"" I just gave up and said I needed to go. He walked with me, pretending like nothing had happened. I felt a terrible, awful guilt - just like back in grad school, like I must have been responsible for it simply because I hadn't made a big protest about it at the start. He kept trying to take me on all these detours back to my lodging to ""show me things around the city"". I eventually just got out my phone and found it myself, feeling stupid that I had let that happen on top of everything else. I still feel terrible, like I've done something wrong. I saw him later at a conference and pretended he didn't exist; he did the same. It all felt so childish, stupid, and like being back in high school, which was very distracting when I was supposed to be at a professional conference. Those are just three incidents. They do not include all the many times I have to greet senior men and they hug too long, kiss on the cheek too long, and make comments about my appearance. One committee member told me at my dissertation defense (in front of the crowd) that I sure didn't look like I'd just had a baby (my son was about a month old at the time). It's just tiring. I was glad to get old enough and secure enough to be what I thought was beyond all of that...",1) young graduate student in early 20s; 2) mid-level graduate student in mid-20's; 3) TT-Asst. Professor in late 30s,1) young graduate student in early 20s; 2) mid-level graduate student in mid-20's; 3) TT-Asst. Professor in late 30s,1) PI of the project on which I was working but not a direct supervisor outside of that setting; 2) senior graduate student with authority over me; 3) same-aged colleague,Male,Male,Anthropology,Research Institute,Graduate Student,Graduate Student, Social sciences
173,433,"When in graduate school, I was propositioned by a professor emeritus who was a close friend of my academic advisor. I'd known him for a few years, and when I heard his wife was dying of cancer, offered to take him to coffee, during which he asked if we could become involved sexually. He held my hand and told me to 'please not make it an age thing'. I was embarrassed and horrified, as I'd considered him to be a second mentor and believed he'd respected me as a future colleague. I extracted myself and wrote him a letter asking him to cease as it made me feel uncomfortable, and that if he didn't, I would take matters to the university. He never spoke to me directly again, but continued attending department functions during my remaining two years in the program, and eventually did end up dating a graduate student in her 20s after I left. He was in his 70s.",I was a graduate student,I Was A Graduate Student,"professor emeritus - not a member of my department, but a frequent attendee of department talks and functions, he sat in on a few classes, and was friends with my advisor.",Male,Male,Psychology,Research Institute,Graduate Student,Faculty, Social sciences
174,2368,"A senior male professor invited a new colleague (also a woman) and me out to dinner shortly after we started our new jobs as assistant professors at the university.  Opening line of discussion?  An extended discourse on the senior woman in the department's breasts.  Shortly after, a male grad student gently ""let me know"" that I was a topic of similar commentary at said professor's ""poker nights"" (which consisted of the professor and the department's male grad students.)  The grad student wanted me to ""watch out,"" though I was at a loss as to what to do as the most junior member of the department.  The chair at the time was utterly spineless and I knew that talking to him would be pointless.",Assistant Professor,Assistant Professor,He was a full professor.  I was a new assistant professor.,Man,Other,History,Research Institute,Faculty,Faculty,Humanities
175,1709,"I studied and started my PhD at an Austrian university. When I started, I did not know what would be the international standards to present doctoral thesis at international conferences etc. Me and other female PhD students were held back a lot, whereas a male and politically active PhD student who started later was pushed to present at these conferences right from the beginning. This was even harder as I and other female PhDs were buried with more administrational work than the male colleagues and my PhD supervisor started to use ideas from my thesis as his. I experienced this afterwards, too, that he would do this with his other female PhD students. He would work with us intensely and if some other male professor said something against it, he started to say he never knew what we were doing and that it's bad and irrelevant. These things piled up during the PhD and afterwards he would push the new head of the department into the same direction telling that I wouldn't do interesting stuff. This person then said that someone like me cannot work in such an exotic field and he took up some ideas himself - and told me, that he expected his PostDocs to kneel in front of him as he did 20 years ago. They tried hard to get me out of my contract and when I tried to go to higher instances at the university, some people started to mutter that this might come out of a former sexual relationship that I might have stopped. Such nonesense! In the end, I got no help, so I quit my position. There were quite a few more in a similar situation, 3 quit, others worked until they reached their habilitation without any help of their male supervisor, on the contrary, many of them tried to make this way as hard as possible for them. One thing I have to add that 20 women got this tenure position to push females in university position, but it seems that especially those had the hardest time. 4 years later the new head of the university gave an order to do a study on the problems, I was interviewed and all interviewers were shocked what happened to me and most other women in this cohort. But in the end, nothing happened and the study was not even made official.","PhD, then Assistant Professor","Phd, Then Assistant Professor",Doctoral supervisor; head of the department.,Various incidents with people of different genders,Other,Social Science;Economics,Research Institute,Graduate Student,Graduate Student, Social sciences
176,1841,"I received a series of inappropriate sexual messages from a college professor of mine whom I had worked closely with in the past. Following the initial messages, he continued to message me and try to continue the conversations in public, even when it was obvious that I wanted him to stop.",Student,Student,My instructor,Male,Male,Music,Regional College,Undergraduate Student,Faculty,Humanities
177,1356,"I was teaching at an arts school, and our new chairman put his hand on my butt. I asked him to not touch me-- he got very offended. A week later, the chairman made a display of fondling a female coworker in the mail area-- she gave me one of those fakery giggles. I stared and made no comment. A month later, I was fired -- after 8 years there",Full time faculty,Full Time Faculty,Department Chairman ,Male,Male,English,Regional College,Faculty,Graduate Student,Humanities
178,1881,"I went to my professor's office during office hours to solve some questions I had before the final exam. It was June in Barcelona, so pretty hot, and I was wearing a regular short sleeve t-shirt and a pair of jeans. My professor, after answering my questions, suggested that if I wanted to be successful in the exam, I should wear lighter clothes (""a skirt and a lighter shirt"" for instance). I gave him a ""disapproval"" look and left. I did not report it, and I did not follow his ""advice"" on the day of the exam.",Grad student,Grad Student,Professor,Male,Male,Chemical Engineering,Elite Institution,Graduate Student,Faculty,Applied science
179,1319,"We were at a conference in another province. He invited me into his hotel room, offered me wine, a bath, and ran his hands on my leg.",I was an associate professor. ,I Was An Associate Professor. ,"We were co-editing a collection. He was a professor at another university, but had recently been named incoming dean of my faculty.",Male,Male,History,Other Type of School,Faculty,Chair/Dean/Head,Humanities
180,182,"When I was a graduate student, every year, students and professors from another university (same department) come to visit our institution to use our libraries and materials. We always host a dinner for them. One year, I sat next to a newly-hired associate professor from the other institution who had I only met briefly years before. As we chatted, I accidentally dropped my silverware on the floor. I leaned under the table to get it, and as I did, bumped his leg with my arm. I apologized. With a smile, he said ""no, that's entirely unacceptable, I'll have to get back at you,"" and he then proceeded to pinch my buttocks. I was stunned, and so I did not say anything. When my adviser across the table saw me looking uncomfortable, he asked, ""what are you all talking about?"" The professor said ""oh nothing, we're simply molesting each other."" I simply turned red, and forced a laugh. My adviser looked confused, but then went back to his conversation. I moved my chair away from him, and quickly found a way to leave the table to socialize elsewhere. Because I almost never see him, and can avoid him when I do, I did not do anything about it. ",Graduate student,Graduate Student,Associate professor at another institution,Male,Male,Chinese History,Elite Institution,Graduate Student,Faculty,Humanities
181,2428,"My friend told me the harasser engaged in aggressive courting, heavy charm & manipulation immediately after he met her.  Then he became emotionally abusive & would psychologically torture her.  She thought this was his cycle. He would brag about having sex on his desk w/grad students.  She said he has a 'reputation.'  I saw his picture online. Meh. ",She was Adjunct Prof,She Was Adjunct Prof,Tenured (?) Prof,Man,Other,Forestry,Research Institute,Faculty,Faculty,Natural sciences
182,1804,"At the American Astronomical Society meeting last year, a senior male approached me and asked me if I was married or had any children. He also asked me what day I was leaving. I lied and said the next day, and he goes ""that's a shame, I would have liked to see you more"". ",Graduate student,Graduate Student,"Senior, probably faculty ",Male,Male,Astronomy,Research Institute,Graduate Student,Graduate Student,Natural sciences
183,1072,"In 2010 I entered into a relationship with my professor, who was twice my age. He pursued me, taking advantage of my youth, and I felt as if I could not end the relationship without academic penalties. Rumours flew, impacting my professional reputation to this day. ",20-year-old student. ,20-Year-Old Student. ,Professor,Male,Male,Marketing,Other Type of School,Undergraduate Student,Faculty,Applied science
184,2109,"As a female physics graduate student, I was repeatedly harassed by my PhD advisor, and by my male colleagues.  I was eventually pushed out of the department after seeking help from the graduate student advisor, the chair of the department, and the dean of arts and sciences.  It was made clear to me that the  only important thing was the money my advisor brought into the department.  My own investment in my education and my own career path (not to mention my humanity) were not valued.",Graduate student,Graduate Student,Tenured processor,Male,Male,Physics,Research Institute,Graduate Student,Faculty,Natural sciences
185,1116,"Chair of the department because sexual relationship with TT faculty hired along w/me and gave preferential assignments and $$. Then when she ended relationship he stalked her and drove her out of the department. Other faculty 8:1 ration men/women routinely made sexist comment during faculty meetings when no transcript was amde. For example “ can we submit for reimbursement for porn on our travel”.  Also- reported harassement of female students by staff member  5 times to title lX and uni did nithing but warn him, further endangering students. In addition, I was removed from commities pre-tenure to “ help focus on my portfolio” while my committee assignments were given to male colleague also up for tenure. An on and on and on. Requested repeatedly to be included on grant proposal in my specialty area and found later new male colleague was added as Co-PI. ",Pre tenure assistant professor,Pre Tenure Assistant Professor,Chair and others,Male,Male,Biology,Research Institute,Faculty,Chair/Dean/Head,Natural sciences
186,850,"once i made clear i was not  interested bc he was married, etc, at a conference with co-PI, myself, and an undergrad, he only got internet in his hotel room. I had to use it to upload docs to the study site and add data to the public site prior to the presentation. He was in the room, then said was gonna go get ready. I kept working, he apparently showered and came out of bathroom in a towel. I left bc very uncomfortable. He could have gotten dressed in bathroom obviously, since I had to be there to do the work on the internet, which in retrospect, was clearly a red flag.


After returning, after a week or so, wanted to schedule a meeting and suggested he drive me to a park ~20mins away and we talk there bc it was beautiful. I said no, I would rather meet in my office. That's when he emailed as if *I* was the inappropriate one, saying he didn't feel comfortable meeting with me in *my* office with a closed door and that's why he suggested a meeting in public. I told my co-PI, who also thought it was strange and wrong and not needed to meet with him there. He said I no longer had to have any contact with him at all, and would get everything from my supervisor.",Bost-BA Research Assistant,Bost-Ba Research Assistant,"Co-Pi of project I was working on, tho not my direct supervisor, who was the other co-PI",Male,Male,Geography,Elite Institution,Faculty,Faculty, Social sciences
187,2282,"1)A lab mate thought that it was ok to hug me awkwardly because I am gay, so I don't mind men hugging me like that. He would ask to meet me in isolated places so that he could hug me for very long moments. I expressed my discomfort and confusion with that because he always says that I am his best friend but that's not how friends hug! He stopped hugging me like that for a while upon my request then last time I saw him he did it again. I don't think we are friends anymore. 
2) In a professional conference, a guy got himself drunk, started hugging me, saying that he loves me and wanted to kiss me. I said no and he kept getting his face close to mine so I pushed him and ran back to my room. ",Graduate Student,Graduate Student,Senior Graduate Student,Man,Other,Aerospace Engineering,Research Institute,Graduate Student,Graduate Student,Natural sciences
188,1646,"I was taking a course in my major. Several women in class had endured hugs, ""goosings"", sexual comments, and innuendos from the professor, in full view of classmates; others treated it as just in fun, but many were uncomfortable. He also had a collection of suggestive pet names for some of us. He grabbed me hard once, and shook me to illustrate 'passion' in a reading passage. At least once a week he touched or made a sexual comment to one of the women. The final straw was when I was walking to class, holding hands with a boyfriend, D. The professor came up behind us, reached around me from the side, grabbed my breast and then squeezed my waist. He kept walking, D. and I stopped in shock. I am still embarrassed to admit that it was D. and not I who insisted we go to the dean of students immediately. ","Undergraduate, B.A. program","Undergraduate, B.A. Program","Professor in the department for my major, and faculty advisor",Male,Male,Foreign Languages,Research Institute,Graduate Student,Graduate Student,Humanities
189,1832,"Post doc got annoyed that I was going to listen to PI's instructions /advice instead of his own re: an experiment I needed to run. Post doc proceeded to call me a ""stupid woman"". On numerous other occasions, post doc asked master's student and other post doc ""why are you doing chemistry instead of getting a nice husband and staying at home?"" Post doc had also instructed me on multiple occasions to finish male undergraduate's work after he went home despite it being a totally separate project from my own and I received no credit. Female graduate student who was my mentor liked to ask various things such as ""How do you think you'll get a husband when you act so crude like that?"" and ""Do you wear a bikini when you go to the beach?... It seems like you would because your skirt is so short' (It was a knee length skirt, fyi.) ",Undergrad,Undergrad,Grad student mentor and post-doc ,Various incidents with people of different genders,Other,Chemistry,Research Institute,Graduate Student,Graduate Student,Natural sciences
190,710,I was invited to go out by mi advisor,Grad student,Grad Student,Chair of the Department  and my Advisor,Male,Male,Spanish,Research Institute,Graduate Student,Chair/Dean/Head,Humanities
191,1338,"I was an 18-year-old high school senior, at a prestigious R1 for a campus interview weekend for a merit-based full-ride scholarship to said institution. During a dinner on a boat cruise, which I believe involved alcohol for the faculty conducting these interviews, a senior member of the committee, who was also a dean of the college of letters and sciences, laced his finger through the belt loop of my jeans to pull me closer to him and draw me into conversation about my potential future at the institution. This occurred in front of other students, but it is likely that no one else really noticed. I physically recoiled, stepped back and maintained my physical distance from this man for the rest of the weekend. I did not receive the full-ride scholarship, but I did receive a lesser scholarship. In the intervening years, I have always wondered if the real reason was I did not seem ""amenable"" enough to this powerful man.","Rising high school senior, prestigious scholarship candidate","Rising high school senior, prestigious scholarship candidate","He was a Dean, I was a high school student, being groomed to be a high-achieving scholar.",Male,Male,Slavic,Elite Institution,Graduate Student,Undergraduate Student,Humanities
192,335,"A Black woman student was petted by a white faculty member with known and unapologetic racial bias.  The professor dug her fingers into the student's hair without her permission, laughing and giddily saying ""oh, I should stop"" but continuing anyway.  She excused her behavior for being on painkillers for her broken leg.",Graduate student,Graduate Student,Professor,Female,Female,Sociology,Research Institute,Graduate Student,Faculty, Social sciences
193,2327,"My graduate professor made sexual advances towards me on more than one occasion during field work, including constant “friendly” pats on my thighs or back which always lasted just a smidge too long. When I finally really made it clear through avoidance and polite but firm refusal he completely ignored my research, including any phone calls or emails I sent him asking for guidance, and hinted at withholding my Masters degree unless I “changed my additude”. I later found out he was sleeping with one other of his grad students and  expected me to similarly fall in line. ",Graduate student ,Graduate Student ,Advising Professor ,Man,Other,Biology,Research Institute,Graduate Student,Faculty,Natural sciences
194,1929,"He was married to a woman living in another country at the time. Some physical intimacy, lots of cybersex. It was consensual at first, but then when I wanted to break it off he wouldn't let it go. Used a lot of manipulation to keep me involved and close. I should have known better to see through it, but I'd never been in a relationship before.",undergraduate,Undergraduate,lecturer in my major department,Male,Male,Ancient Languages,Elite Institution,Graduate Student,Graduate Student,Humanities
195,781,"I was being ""groomed"" by my Professor.  At first, office hours were very respectable. Then the door shut, then I went from sitting across the table to right next to him. Then our hands were overlapping on the mouse, and then one day, I got an inappropriate kiss that was too close to my lips for comfort.  I spoke to other students in my class and they did not believe me since this Professor acted so distant in the classroom.  To make a long story short, he was very upset when I professionally ended working with him, and then to make matters worst, his best friend wrote me a terrible letter of rec. and made my quals a living nightmare. In addition to this, another faculty member who knew him, and who I was trying to conduct research with, stopped writing back to me.  To say the least, after these encounters, I felt paranoid and blacklisted.",Graduate Student,Graduate Student,Professor ,Male,Male,Social Science,Elite Institution,Graduate Student,Faculty, Social sciences
196,2338,"A professor who taught a class I was taking told me I reminded him of his wife ""back when he was actually attracted to her"" and later said he wished his son (who was my age) could meet me, though I ""would be way out of his league."" A couple other professors and my advisor would say that he mentioned/talked about me a lot; he also unexpectedly started showing up to the coffeeshop I worked at off-campus very often. ",Second Year Undergrad,Second Year Undergrad,Associate Professor,Man,Other,History,Elite Institution,Graduate Student,Faculty,Humanities
197,617,All during my MFA (fall of 2013 - spring of 2016) my thesis director talked explicitly about her sex life to me and other (usually female) students both in and out of class,MFA student ,Mfa Student ,Tenured professor. She was my thesis director,Female,Female,Creative Writing,Research Institute,Undergraduate Student,Chair/Dean/Head,Humanities
